TOT_POP,0-9,0-9_y-o_%_of_total_pop,19-Oct,10-19_y-o_%_of_total_pop,20-29,20-29_y-o_%_of_total_pop,30-39,30-39_y-o_%_of_total_pop,40-49,40-49_y-o_%_of_total_pop,50-59,50-59_y-o_%_of_total_pop,60-69,60-69_y-o_%_of_total_pop,70-79,70-79_y-o_%_of_total_pop,80+,80+_y-o_%_of_total_pop,White-alone_pop,%_White-alone,Black-alone_pop,%_Black-alone,Native_American-American_Indian-alone_pop,%_NA-AI-alone,Asian-alone_pop,%_Asian-alone,Hawaiian-Pacific_Islander-alone_pop,%_Hawaiian-PI-alone,Two_or_more_races_pop,%_Two_or_more_races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,Percent_of_Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,anycondition_number,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
55601,6787,12.20661499,7637,13.73536447,6878,12.37028111,7089,12.74977069,7582,13.63644539,7738,13.91701588,5826,10.47822881,4050,7.284041654,2014,3.62223701,42660,76.72523875,10915,19.63094189,267,0.480207191,681,1.224798115,62,0.111508786,1016,1.827305264,55601,158,455,11.8,9.6,2.2,0.0,0.7,0.6,4204,12119,10552,10291,7587,13.8,19.3,19.5,59338,25957,25015,942,59338,119.0,217.1,196.7,77.2,71.2,7.6,6.9,28.85913663,6.085785611,1.148905321,25.99256097,21.24906079,72.14215392,6,55036,10523,19.1,0,0,1,1,42438,20181,35.8,15193,7.9,3345,8.6,3644,12.9,5462,3.1,1326,3
218022,24757,11.35527607,26913,12.3441671,23579,10.81496363,25213,11.56442928,27338,12.53910156,29986,13.75365789,29932,13.72888975,20936,9.602700645,9368,4.296814083,190301,87.2852281,19492,8.940382163,1684,0.772399116,2508,1.150342626,146,0.066965719,3891,1.78468228,218022,5403,2190,10.5,10.3,0.1,0.5,24.3,24.8,14310,40579,46025,46075,21069,9.8,13.9,13.1,57588,93849,90456,3393,57588,115.5,217.1,196.7,77.2,71.2,7.6,6.9,113.1621137,23.86351236,4.505074295,101.9217303,83.32157211,282.882982,51,203360,53519,26.3,1,0,1,3,170912,68790,29.7,50761,7.8,13414,8.6,14692,12.0,20520,3.2,5479,4
24881,2732,10.98026607,2960,11.89662795,3268,13.13452032,3201,12.86523854,3074,12.35480889,3278,13.17471163,3076,12.36284715,2244,9.018930107,1048,4.212049355,12209,49.06957116,12042,48.39837627,164,0.659137495,113,0.45416181,46,0.184880029,307,1.233873237,24881,-277,2820,10.4,12.9,-2.5,0.5,-9.1,-8.6,4901,6486,4566,2220,6788,30.9,43.9,36.7,34382,8373,7940,433,34382,68.9,217.1,196.7,77.2,71.2,7.6,6.9,12.91423137,2.72334008,0.514125884,11.63146184,9.508783681,32.28303325,5,26201,6150,23.5,2,0,1,5,19689,11325,40.7,8013,11.0,2159,12.1,2373,19.7,3870,4.5,887,6
22400,2456,10.96428571,2596,11.58928571,3029,13.52232143,3113,13.89732143,3038,13.5625,3115,13.90625,2545,11.36160714,1723,7.691964286,785,3.504464286,17211,76.83482143,4770,21.29464286,98,0.4375,53,0.236607143,26,0.116071429,242,1.080357143,22400,-155,2151,11.1,11.4,-0.3,0.4,-7.0,-6.6,2650,7471,3846,1813,4400,21.8,27.8,26.3,46064,8661,8317,344,46064,92.3,217.1,196.7,77.2,71.2,7.6,6.9,11.62649342,2.4517832,0.462860006,10.47163479,8.560618723,29.06394215,0,22580,4773,21.1,3,0,1,7,17813,9190,38.7,6894,8.6,1533,10.0,1789,14.1,2511,3.3,595,2
57840,7095,12.26659751,7570,13.08782849,6742,11.65629322,6884,11.90179806,7474,12.92185339,7844,13.5615491,6965,12.04183956,4931,8.525242047,2335,4.036998617,55456,95.87828492,950,1.642461964,378,0.653526971,185,0.319847856,70,0.121023513,801,1.384854772,57840,13,489,11.8,11.4,0.3,0.1,-0.2,0.0,7861,13489,13267,5010,7527,13.2,18.0,15.5,50412,25006,24128,878,50412,101.1,217.1,196.7,77.2,71.2,7.6,6.9,30.02126693,6.330854476,1.195170658,27.03925697,22.10474049,75.04725063,6,57667,13600,23.6,4,0,1,9,44448,20584,34.0,15112,9.2,4101,10.5,4661,13.5,6017,3.4,1507,2
10138,1198,11.81692642,1130,11.14618268,1395,13.76011048,1446,14.26316828,1274,12.56658118,1356,13.37541921,1219,12.02406786,703,6.934306569,417,4.113237325,2661,26.24778063,7168,70.70428092,85,0.838429671,19,0.187413691,76,0.749654764,129,1.272440324,10138,-38,1661,11.3,11.8,-0.5,-0.2,-3.0,-3.2,1760,2817,1582,945,3610,42.5,68.3,66.5,29267,4776,4552,224,29267,58.7,217.1,196.7,77.2,71.2,7.6,6.9,5.262026351,1.109650807,0.209485479,4.739349709,3.874444313,13.15402882,0,10478,2371,22.6,5,0,1,11,8001,4853,45.8,3664,10.0,804,10.9,873,20.6,1651,4.5,360,6
19680,2351,11.94613821,2461,12.5050813,2286,11.61585366,2337,11.875,2318,11.77845528,2491,12.65752033,2683,13.63313008,1660,8.43495935,1093,5.553861789,10283,52.25101626,8839,44.91361789,74,0.37601626,259,1.316056911,10,0.050813008,215,1.092479675,19680,-218,333,11.2,12.1,-0.9,0.9,-11.0,-10.1,2141,6091,3421,2235,4731,24.5,36.3,35.3,37365,8914,8487,427,37365,74.9,217.1,196.7,77.2,71.2,7.6,6.9,10.21470493,2.154066668,0.406655577,9.200079135,7.521115021,25.53474918,7,20126,5151,25.6,6,0,1,13,15302,8891,41.2,6304,10.4,1588,11.4,1741,18.6,2841,4.3,662,6
114277,13141,11.49925182,14637,12.80835164,15463,13.53115675,13865,12.13280013,13727,12.01204092,15325,13.41039754,14641,12.8118519,8979,7.857224113,4499,3.936925191,86026,75.27848998,24153,21.13548658,617,0.539916169,1102,0.96432353,126,0.110258407,2253,1.971525329,114277,-387,2739,11.3,13.1,-1.8,0.6,-2.2,-1.6,12620,25653,26643,14219,21719,19.5,26.5,24.1,45400,45972,43833,2139,45400,91.0,217.1,196.7,77.2,71.2,7.6,6.9,59.3143209,12.50814414,2.361350576,53.42263431,43.6732958,148.2741124,24,115527,27115,23.5,7,0,1,15,89582,48041,40.9,36639,9.1,8146,10.2,9158,14.7,13182,3.6,3204,4
33615,3869,11.50974267,3812,11.34017552,4380,13.02989737,3734,11.10813625,4078,12.13148892,4761,14.16331995,4492,13.36308196,2972,8.84129109,1517,4.51286628,19182,57.0638108,13446,40.0,103,0.306410829,446,1.326788636,15,0.044622936,423,1.258366801,33615,-143,458,10.6,13.7,-3.1,0.6,-1.7,-1.1,4383,9060,7003,3118,6181,18.7,30.7,30.3,39917,15276,14679,597,39917,80.0,217.1,196.7,77.2,71.2,7.6,6.9,17.44752572,3.679316619,0.69459996,15.71446444,12.84666064,43.61537569,0,33895,8501,25.1,8,0,1,17,26623,14836,39.1,10410,9.8,2618,10.8,2870,17.5,4664,4.0,1068,5
26032,2554,9.811001844,2981,11.45129072,2852,10.95574677,2504,9.618930547,3204,12.3079287,3873,14.87784266,3946,15.15826675,2835,10.89044253,1283,4.928549478,24217,93.02781192,1109,4.260141364,172,0.660725261,88,0.338045483,8,0.030731408,438,1.682544561,26032,217,290,8.4,13.1,-4.7,0.0,13.0,13.0,3692,7157,5417,2407,4180,16.3,24.7,22.2,42132,11622,11207,415,42132,84.5,217.1,196.7,77.2,71.2,7.6,6.9,13.51164628,2.849322333,0.53790945,12.16953557,9.948661902,33.77645277,0,25855,7513,29.1,9,0,1,19,21042,11769,39.1,8227,10.8,2282,12.1,2540,15.9,3353,3.9,814,6
