TOT_POP,0-9,0-9_y-o_%_of_total_pop,19-Oct,10-19_y-o_%_of_total_pop,20-29,20-29_y-o_%_of_total_pop,30-39,30-39_y-o_%_of_total_pop,40-49,40-49_y-o_%_of_total_pop,50-59,50-59_y-o_%_of_total_pop,60-69,60-69_y-o_%_of_total_pop,70-79,70-79_y-o_%_of_total_pop,80+,80+_y-o_%_of_total_pop,White-alone_pop,%_White-alone,Black-alone_pop,%_Black-alone,Native_American-American_Indian-alone_pop,%_NA-AI-alone,Asian-alone_pop,%_Asian-alone,Hawaiian-Pacific_Islander-alone_pop,%_Hawaiian-PI-alone,Two_or_more_races_pop,%_Two_or_more_races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,Percent_of_Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,county_pop2018_18_and_older,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_Lower_95%_CI,Obesity_Upper_95%_CI,Obesity_number,Heart_disease_prevalence,Heart_disease_Lower_95%_CI,Heart_disease_Upper_95%_CI,COPD_prevalence,COPD_Lower_95%_CI,COPD_Upper_95%_CI,COPD_number,diabetes_prevalence,diabetes_Lower_95%_CI,diabetes_Upper_95%_CI,diabetes_number,CKD_prevalence,CKD_Lower_95%_CI,CKD_Upper_95%_CI,CKD_number,Urban_rural_code
142067.0,14487.0,10.19730127,16113.0,11.34183167,16149,11.36717183,16854.0,11.86341656,18084.0,12.72920523,20668.625,14.7719034,19368.0,13.63300415,12279.0,8.643105014,6449.875,5.45306088,133931.0,94.27312465,4991.0,3.513131128,488.0,0.343499898,845.0,0.594789782,73,0.051384206,1739.0,1.224070333,142067.0,-599.0,5349.75,9.3,12.7,-3.4,0.3,-1.1,-0.8,11968.0,33826.25,27036.0,17009.0,17574.0,13.0,15.7,14.0,48809.0,66090,62670.0,2889.5,48809.0,80.2,320.5,273.3,100.8,88.2,8.7,7.2,77.68334036,42.782360291625,2.207480327,84.99048587812501,70.31241441825,237.56324629249997,16,144287.0,36043.5,26.7,1401,38,42,107,114062.0,47.3,53994.0,35.6,33.9,37.3,40606.0,8.4,7.6,9.2,9.2,7.9,10.5,10466,12.4,11.4,13.4,14113.0,3.3,3.1,3.6,3775.0,5
82029.0,8453.0,10.30489217,9788.0,11.93236538,9468,11.54225944,8762.0,10.68158822,10889.0,13.27457363,12464.0,15.19462629,11191.0,13.64273611,7538.0,9.189433005,3476.0,4.237525753,75240.0,91.72365871,4112.0,5.012861305,523.0,0.637579393,600.0,0.731448634,79,0.096307403,1475.0,1.798144559,82029.0,109.0,941.0,9.6,11.8,-2.2,0.8,2.7,3.6,11913.0,19103.0,18775.0,8965.0,12830.0,15.9,22.4,20.3,43328.0,36595,35193.0,1402.0,43328.0,80.4,255.0,223.5,86.2,78.1,7.1,6.2,37.26357407,33.51114717,0.884782764,39.93372205,31.78898072,118.3317948,12,81805.0,20816.0,25.4,701,33,37,27,65539.0,51.9,33996.0,37.1,35.4,38.8,24315.0,9.7,8.8,10.8,10.9,9.3,12.7,7160,14.0,12.9,15.2,9188.0,3.6,3.4,4.0,2380.0,3
24842.0,2778.0,11.1826745,2764.0,11.12631833,2616,10.5305531,2669.0,10.74390146,3061.0,12.32187425,3495.0,14.06891555,3766.0,15.15981,2507.0,10.09178005,1186.0,4.774172772,24219.0,97.49215039,136.0,0.547459947,91.0,0.366315112,98.0,0.394493197,3,0.012076322,295.0,1.187505032,24842.0,-292.0,162.0,10.1,14.0,-3.9,0.3,-8.1,-7.8,2453.0,9108.0,4103.0,2810.0,4659.0,19.0,25.8,24.4,38572.0,9309,8709.0,600.0,38572.0,87.6,263.4,231.6,100.1,89.4,10.400000000000002,8.850000000000001,12.95866061,9.189368668,0.770366236,13.42638296,17.07186604,38.5595814,0,25496.0,7413.0,29.1,733,48,54,67,19729.0,55.2,10895.0,39.1,37.2,40.9,7714.0,11.4,10.3,12.5,13.9,12.0,15.9,2750,15.6,14.3,16.8,3085.0,3.7,3.4,4.1,737.0,6
31280.0,3353.0,10.71930946,4207.0,13.44948849,3846,12.29539642,3290.0,10.51790281,3589.0,11.47378517,4245.0,13.57097187,4082.0,13.04987212,2707.0,8.654092072,1961.0,6.269181586,30227.0,96.63363171,260.0,0.831202046,228.0,0.728900256,181.0,0.578644501,8,0.025575448,376.0,1.202046036,31280.0,-130.0,1843.0,10.9,12.9,-1.9,0.1,-2.3,-2.2,2539.0,9222.0,5954.0,3997.0,3631.0,12.4,17.3,15.8,51487.0,14901,14381.0,520.0,51487.0,92.4,230.8,212.0,80.3,74.4,6.5,6.1,16.14043771,3.94980303,0.617010651,12.29814411,15.5327757,40.69465702,0,31848.0,8461.0,26.6,532,14,18,169,24768.0,44.4,11008.0,31.9,30.2,33.5,7901.0,8.7,7.8,9.6,10.5,9.0,12.2,2604,13.2,12.0,14.3,3260.0,3.4,3.1,3.6,831.0,5
6993.0,842.0,12.04061204,855.0,12.22651223,664,9.495209495,746.0,10.66781067,757.0,10.82511083,957.0,13.68511369,1095.0,15.65851566,620.0,8.866008866,457.0,6.535106535,6783.0,96.996997,58.0,0.829400829,27.0,0.386100386,31.0,0.443300443,3,0.042900043,91.0,1.301301301,6993.0,41.0,131.0,12.2,12.0,0.1,0.4,5.4,5.9,375.0,1790.0,1862.0,960.0,686.0,10.0,16.4,15.6,54658.0,3704,3635.0,69.0,54658.0,91.0,218.2,193.1,84.8,77.9,6.9,6.5,4.258532482,1.889973053,0.261449965,2.831636062,4.788079445,9.055474638,0,6985.0,2030.0,29.1,244,15,19,71,5426.0,47.2,2563.0,37.0,35.0,38.9,2008.0,8.7,7.8,9.6,8.1,6.8,9.4,439,11.6,10.5,12.6,629.0,3.4,3.1,3.7,186.0,6
48305.0,4801.0,9.938929717,5225.0,10.81668564,6332,13.10837387,6595.0,13.65283097,6435.0,13.32160232,6280.0,13.00072456,6010.0,12.44177621,4239.0,8.77548908,2388.0,4.94358762,33425.0,69.19573543,12972.0,25.829528788750004,423.0,0.875685747,365.0,0.755615361,142,0.248227469625,978.0,2.024635131,48305.0,-55.0,5349.75,10.5,12.7,-2.2,1.4,-0.3,1.1,6825.0,13242.0,10551.0,4752.0,9492.0,23.5,33.5,33.5,39545.0,17542,16846.0,696.0,39545.0,71.3,265.2,240.7,86.8,80.1,6.9,6.0,28.03139536,13.81838932,0.492136957,26.29644249,18.7783134,66.0030501,7,48571.0,12035.0,24.8,35,9,12,63,39344.0,52.2,20546.0,37.4,36.3,38.4,14715.0,10.1,9.3,10.9,11.4,10.1,12.9,4501,15.6,14.7,16.5,6138.0,3.9,3.6,4.1,1520.0,6
64265.0,6143.0,9.558857854,6789.0,10.56407064,7333,11.41056563,7187.0,11.18338131,7439.0,11.57550766,10069.0,15.66793745,9671.0,15.04862678,6234.0,9.700459037,3400.0,5.290593636,61469.0,95.64926476,868.0,1.350657434,200.0,0.31121139,587.0,0.913405431,24,0.037345367,1117.0,1.738115615,64265.0,-163.0,641.0,8.6,10.5,-1.8,0.4,-1.0,-0.6,3989.0,15212.0,14250.0,14339.0,6859.0,10.8,15.5,14.2,56694.0,31709,30236.0,1473.0,56694.0,83.8,355.6,297.4,112.9,94.8,10.2,7.4,41.47156112,29.24483332,0.545894786,68.13819257,21.30962779,160.8350735,24,64701.0,17940.0,27.7,438,32,36,113,52522.0,37.9,19901.0,29.0,27.4,30.4,15231.0,7.9,7.0,8.8,8.5,7.1,10.1,4456,11.0,10.0,12.2,5801.0,3.1,2.9,3.4,1650.0,4
35438.0,6384.0,16.487640596250003,6240.0,16.63644994,4316,12.17901687,5380.0,15.18144365,4103.0,11.57796715,3411.0,10.202730187500004,3079.0,8.688413567,1648.0,4.650375303,877.0,2.474744624,31180.0,87.98464925,229.0,0.646198995,1555.5,2.7520983715,197.0,0.555900446,136,0.248227469625,856.0,2.415486201,35438.0,219.0,192.0,15.4,6.5,8.9,0.9,-3.7,-2.7,2896.0,7345.0,7568.0,3080.0,4031.0,11.5,13.5,12.2,63631.0,13595,12954.0,641.0,63631.0,89.1,216.2,199.9,65.3,62.2,5.8,5.4,13.5312386,8.946088156,0.605374386,10.88552832,11.7935899,41.43451356,4,36343.0,4899.0,13.5,1670,44,49,47,23684.0,45.3,10732.0,36.2,34.9,37.4,8574.0,6.1,5.6,6.7,6.4,5.6,7.3,1527,10.7,10.0,11.5,2542.0,2.8,2.6,3.0,663.0,5
17673.0,1580.0,8.940191252,1818.0,10.28687829,1586,8.974141346,1569.0,8.877949414,2235.0,12.64640978,2795.0,15.81508516,2790.0,15.78679341,2229.0,12.61245968,1071.0,6.060091665,16316.0,92.32162055,969.0,5.482940078,95.0,0.537543145,60.0,0.339500934,11,0.062241838,222.0,1.256153454,17673.0,-35.0,295.0,8.6,13.7,-5.0,0.0,3.1,3.1,2794.0,4725.0,4141.0,1880.0,2683.0,15.5,22.7,20.9,42862.0,7438,7151.0,287.0,42862.0,59.0,263.2,231.8,90.3,81.7,7.3,6.3,9.29122103,4.361354758,0.199186516,8.814003335,7.737151233,24.38374934,0,17958.0,5697.0,31.7,1715,46,51,141,14595.0,49.8,7264.0,37.2,35.4,38.9,5429.0,11.0,9.9,12.1,11.9,10.0,13.6,1733,15.2,14.0,16.4,2224.0,4.2,3.8,4.5,606.0,6
12166.0,1331.0,10.9403255,1336.0,10.98142364,1525,12.53493342,1702.0,13.98980766,1345.0,11.0554003,1608.0,13.21716258,1547.0,12.71576525,1133.0,9.31283906,639.0,5.252342594,11198.0,92.04339964,580.0,4.767384514,149.0,1.224724642,92.0,0.75620582,12,0.098635542,135.0,1.109649844,12166.0,-19.0,1120.0,10.7,9.3,1.4,1.6,-4.4,-2.9,1828.0,3028.0,2775.0,1156.0,2067.0,18.7,25.6,23.9,48814.0,5233,5036.0,197.0,48814.0,80.5,224.8,199.9,72.9,66.5,6.2,5.4,4.19636438,2.476702735,0.221686724,4.603284562,4.074288325,14.36852119,0,12043.0,3164.0,26.3,1589,43,48,280,9746.0,50.1,4881.0,37.5,36.1,38.7,3655.0,9.5,8.7,10.3,8.8,7.6,9.9,854,15.1,14.1,15.9,1467.0,3.8,3.5,4.0,367.0,6
